Year,Month,Incident,Victims,City,Prime minister
2021,sep,quetta sucide attack,4,quetta,Mr. Imran Khan
2021,nov,nazim jokhio,1,karachi,Mr. Imran Khan
2021,nov,muhammad zada,1,malakand,Mr. Imran Khan
2021,dec,priyantha kumara,1,sialkot,Mr. Imran Khan
2022,jan,kech district,,,
2022,feb,mushtaq ahmad,1,mushtaq,Mr. Imran Khan
2022,mar,peshawar bombing,63,peshawar,Mr. Imran Khan
2022,mar,sibi,3,sibi,Mr. Imran Khan
2022,mar,quetta bombing,3,quetta,Mr. Imran Khan
2022,apr,karachi uni,3,karachi,Mian Muhammad Shehbaz Sharif
2022,may,miranshah attack,6,miranshah,Mian Muhammad Shehbaz Sharif
2022,aug,harnai balochistan,2,harnai,Mian Muhammad Shehbaz Sharif
